,Landfall,Days,MaxWind,MinWind,AWind
1723,0.0,8.0,50.0,30.0,37.2
1724,0.0,11.0,30.0,15.0,22.34375
1725,0.0,3.0,115.0,25.0,64.11764705882354
1726,1.0,6.0,125.0,25.0,66.9090909090909
1727,0.0,2.0,55.0,25.0,38.125
1728,0.0,3.0,35.0,25.0,27.666666666666668
1729,1.0,4.0,60.0,20.0,31.304347826086957
1730,1.0,4.0,135.0,30.0,80.57377049180327
1731,0.0,1.0,120.0,30.0,52.64705882352941
1732,1.0,7.0,110.0,25.0,57.95454545454545
1733,0.0,3.0,75.0,25.0,37.5
1734,1.0,5.0,50.0,20.0,36.5625
1735,0.0,8.0,40.0,25.0,36.666666666666664
1736,0.0,5.0,75.0,20.0,41.91489361702128
1737,1.0,8.0,90.0,20.0,58.333333333333336
1738,1.0,9.0,85.0,20.0,43.793103448275865
1739,0.0,1.0,65.0,30.0,51.111111111111114
1740,1.0,242.0,85.0,30.0,52.407407407407405
1741,1.0,18.0,55.0,25.0,41.92307692307692
1742,0.0,4.0,60.0,20.0,35.86206896551724
1743,0.0,7.0,60.0,30.0,44.61538461538461
1744,1.0,6.0,45.0,25.0,36.785714285714285
1745,0.0,10.0,45.0,25.0,35.0
1746,0.0,1.0,40.0,25.0,30.666666666666668
1747,0.0,6.0,55.0,30.0,38.421052631578945
1748,1.0,2.0,55.0,20.0,37.05882352941177
1749,1.0,4.0,105.0,40.0,70.34883720930233
1750,0.0,1.0,30.0,25.0,29.444444444444443
1751,0.0,2.0,40.0,30.0,34.61538461538461
1752,0.0,5.0,120.0,20.0,66.796875
1753,1.0,4.0,50.0,15.0,35.22727272727273
1754,1.0,0.0,70.0,30.0,49.04761904761905
1755,1.0,14.0,65.0,25.0,45.0
1756,0.0,3.0,120.0,25.0,53.389830508474574
1757,0.0,29.0,80.0,20.0,49.0
1758,1.0,15.0,100.0,20.0,53.064516129032256
1759,0.0,-67.0,55.0,35.0,45.357142857142854
1760,0.0,262.0,40.0,25.0,32.142857142857146
1761,0.0,6.0,50.0,25.0,34.25
1762,1.0,23.0,60.0,25.0,38.63636363636363
1763,0.0,6.0,75.0,20.0,40.96774193548387
1764,1.0,39.0,55.0,30.0,41.111111111111114
1765,1.0,2.0,85.0,30.0,50.12820512820513
1766,0.0,6.0,50.0,25.0,33.333333333333336
1767,1.0,6.0,40.0,25.0,29.210526315789473
1768,1.0,5.0,95.0,30.0,58.46153846153846
1769,1.0,1.0,70.0,20.0,47.05882352941177
1770,0.0,7.0,35.0,25.0,29.583333333333332
1771,0.0,0.0,90.0,30.0,58.18181818181818
1772,0.0,5.0,70.0,20.0,53.666666666666664
1773,0.0,8.0,100.0,20.0,59.523809523809526
1774,0.0,22.0,80.0,25.0,52.8125
1775,0.0,8.0,45.0,25.0,36.92307692307692
1776,0.0,2.0,40.0,25.0,34.54545454545455
1777,0.0,9.0,80.0,25.0,48.214285714285715
1778,1.0,0.0,100.0,25.0,61.55555555555556
1779,0.0,227.0,45.0,25.0,33.5
1780,1.0,11.0,55.0,35.0,43.214285714285715
1781,1.0,21.0,40.0,20.0,30.217391304347824
1782,0.0,15.0,55.0,35.0,43.07692307692308
1783,0.0,24.0,50.0,25.0,31.372549019607842
1784,0.0,10.0,40.0,20.0,31.75
1785,1.0,10.0,50.0,25.0,39.285714285714285
1786,0.0,2.0,55.0,20.0,30.555555555555557
1787,1.0,2.0,30.0,25.0,27.5
1788,0.0,4.0,80.0,25.0,44.34782608695652
1789,1.0,16.0,75.0,20.0,47.95454545454545
